County,Newsom,Cox,Pct_Newsom,Pct_Cox,Newsom or Cox
Alameda,462558,111677,80.60,19.40,Newsom
Alpine,386,229,62.80,37.20,Newsom
Amador,6237,11356,35.50,64.50,Cox
Butte,41500,47226,46.80,53.20,Cox
Calaveras,7765,13845,35.90,64.10,Cox
Colusa,1999,3764,34.70,65.30,Cox
Contra Costa,283805,132345,68.20,31.80,Newsom
Del Norte,3441,4887,41.30,58.70,Cox
El Dorado,36297,53140,40.60,59.40,Cox
Fresno,124332,128974,49.10,50.90,Cox
Glenn,2424,5908,29.10,70.90,Cox
Humboldt,33455,18418,64.50,35.50,Newsom
Imperial,20573,12785,61.70,38.30,Newsom
Inyo,3244,4018,44.70,55.30,Cox
Kern,83507,119870,41.10,58.90,Cox
Kings,12275,17976,40.60,59.40,Cox
Lake,10869,10280,51.40,48.60,Newsom
Lassen,2043,6973,22.70,77.30,Cox
Los Angeles,2114699,826402,71.90,28.10,Newsom
Madera,15037,23488,39.00,61.00,Cox
Marin,103671,26750,79.50,20.50,Newsom
Mariposa,3183,5043,38.70,61.30,Cox
Mendocino,22152,11255,66.30,33.70,Newsom
Merced,30783,28424,52.00,48.00,Newsom
Modoc,820,2628,23.80,76.20,Cox
Mono,2706,2147,55.80,44.20,Newsom
Monterey,76648,39516,66.00,34.00,Newsom
Napa,36513,19834,64.80,35.20,Newsom
Nevada,27985,24882,52.90,47.10,Newsom
Orange,543047,539951,50.10,49.90,Newsom
Placer,72270,103157,41.20,58.80,Cox
Plumas,3433,5807,37.20,62.80,Cox
Riverside,319845,322243,49.80,50.20,Cox
Sacramento,302696,212010,58.80,41.20,Newsom
San Benito,11274,8815,56.10,43.90,Newsom
San Bernardino,276874,260379,51.50,48.50,Newsom
San Diego,658346,499532,56.90,43.10,Newsom
San Francisco,312181,49181,86.40,13.60,Newsom
San Joaquin,101474,92966,52.20,47.80,Newsom
San Luis Obispo,65117,61137,51.60,48.40,Newsom
San Mateo,213282,70242,75.20,24.80,Newsom
Santa Barbara,93841,61300,60.50,39.50,Newsom
Santa Clara,438758,175791,71.40,28.60,Newsom
Santa Cruz,91523,27665,76.80,23.20,Newsom
Shasta,20256,49825,28.90,71.10,Cox
Sierra,599,1068,35.90,64.10,Cox
Siskiyou,7218,10946,39.70,60.30,Cox
Solano,89694,56627,61.30,38.70,Newsom
Sonoma,152040,58338,72.30,27.70,Newsom
Stanislaus,77220,79751,49.20,50.80,Cox
Sutter,11122,18953,37.00,63.00,Cox
Tehama,5756,15137,27.50,72.50,Cox
Trinity,2250,3075,42.30,57.70,Cox
Tulare,42702,57012,42.80,57.20,Cox
Tuolumne,9294,14580,38.90,61.10,Cox
Ventura,171729,137393,55.60,44.40,Newsom
Yolo,49759,23611,67.80,32.20,Newsom
Yuba,6903,12293,36.00,64.00,Cox