County,Biden,Trump,Pct_Biden,Pct_Trump,Biden or Trump
Alameda,617659,136309,80.2,17.7,Biden
Alpine,476,244,64.2,32.9,Biden
Amador,8153,13585,36.6,60.9,Trump
Butte,50426,48730,49.4,47.7,Biden
Calaveras,10046,16518,37.0,60.8,Trump
Colusa,3239,4559,40.7,57.3,Trump
Contra Costa,416386,152877,71.6,26.3,Biden
Del Norte,4677,6461,40.8,56.4,Trump
El Dorado,51621,61838,44.4,53.2,Trump
Fresno,193025,164464,52.9,45.1,Biden
Glenn,3995,7063,35.4,62.5,Trump
Humboldt,44768,21770,65.0,31.6,Biden
Imperial,34678,20847,61.1,36.7,Biden
Inyo,4634,4620,48.9,48.7,Biden
Kern,133366,164484,43.7,53.9,Trump
Kings,18699,24072,42.6,54.9,Trump
Lake,14941,13123,51.9,45.5,Biden
Lassen,2799,8970,23.4,74.8,Trump
Los Angeles,3028885,1145530,71.0,26.9,Biden
Madera,23168,29378,43.1,54.7,Trump
Marin,128288,24612,82.3,15.8,Biden
Mariposa,4088,5950,39.8,57.9,Trump
Mendocino,28782,13267,66.4,30.6,Biden
Merced,48991,39397,54.1,43.5,Biden
Modoc,1150,3109,26.5,71.6,Trump
Mono,4013,2513,59.6,37.3,Biden
Monterey,113953,46299,69.5,28.2,Biden
Napa,49817,20676,69.0,28.7,Biden
Nevada,36359,26779,56.2,41.4,Biden
Orange,814009,676498,53.5,44.4,Biden
Placer,106869,122488,45.5,52.1,Trump
Plumas,4561,6445,40.5,57.2,Trump
Riverside,528340,449144,53.0,45.0,Biden
Sacramento,440808,259405,61.4,36.1,Biden
San Benito,17628,10590,61.1,36.7,Biden
San Bernardino,455859,366257,54.2,43.5,Biden
San Diego,964650,600094,60.2,37.5,Biden
San Francisco,378156,56417,85.3,12.7,Biden
San Joaquin,161137,121098,55.9,42.0,Biden
San Luis Obispo,88310,67436,55.3,42.2,Biden
San Mateo,291496,75584,77.9,20.2,Biden
Santa Barbara,129963,65736,64.9,32.8,Biden
Santa Clara,617967,214612,72.6,25.2,Biden
Santa Cruz,114246,26937,78.9,18.6,Biden
Shasta,30000,60789,32.3,65.4,Trump
Sierra,730,1142,37.8,59.1,Trump
Siskiyou,9593,13290,40.9,56.6,Trump
Solano,131639,69306,63.9,33.7,Biden
Sonoma,199938,61825,74.5,23.0,Biden
Stanislaus,105841,104145,49.2,48.4,Biden
Sutter,17367,24375,40.7,57.2,Trump
Tehama,8911,19141,31.0,66.6,Trump
Trinity,2851,3188,45.6,50.9,Trump
Tulare,66105,77579,45.0,52.8,Trump
Tuolumne,11978,17689,39.4,58.2,Trump
Ventura,251388,162207,59.5,38.4,Biden
Yolo,67598,27292,69.5,28.1,Biden
Yuba,11230,17676,37.7,59.3,Trump